lng,lat,heatwave,seamask,xd,yd,ddis,sst,anom,sst_dis,td_flag
-179.625,-55.375,1,,179.375,-55.875,83.8589995930098,9.11399936676025,0.998212516307831,8.08099937438965,TRUE
-179.625,-55.125,1,,179.375,-55.875,104.504114354639,9.18966674804688,0.93892365694046,8.08099937438965,TRUE
-179.625,-54.875,1,,178.875,-54.375,111.419098896941,9.20466613769531,0.845207512378693,8.3043327331543,TRUE
-179.625,-54.625,1,,178.875,-54.625,96.558526138387,9.3149995803833,0.881463170051575,8.39566612243652,TRUE
-179.625,-54.375,1,,178.875,-54.375,97.1510139772483,9.45966625213623,0.97540408372879,8.3043327331543,TRUE
-179.625,-54.125,1,,179.125,-54.125,81.4518436647351,9.51133346557617,0.977680861949921,8.48899936676025,TRUE
-179.625,-53.875,1,,179.125,-53.875,81.9424916004266,9.35933303833008,0.75856739282608,8.46066665649414,TRUE
-179.625,-52.625,1,,-179.875,-53.125,58.0738391831801,9.81233310699463,0.795837223529816,8.99666690826416,TRUE
-179.625,-52.375,1,,-179.625,-53.125,83.3961949834346,10.1799993515015,1.10200273990631,9.03066635131836,TRUE
-179.625,-52.125,1,,-179.625,-53.125,111.194926644548,10.2816667556763,1.15215921401978,9.03066635131836,TRUE
-179.625,-51.875,1,,-179.625,-53.125,138.993658305687,10.2039995193481,1.03706705570221,9.03066635131836,TRUE
-179.625,-51.625,1,,178.125,-51.625,155.312383201576,10.0973329544067,0.900907576084137,9.18200016021729,TRUE
-179.625,-51.375,1,,178.375,-50.875,150.236301594943,10.0669994354248,0.840527892112732,9.20800018310547,TRUE
-179.625,-51.125,1,,178.375,-51.125,139.57278638736,10.1043329238892,0.851520121097565,9.23400020599365,TRUE
-179.625,-50.875,1,,179.125,-50.125,121.534409968534,10.1366662979126,0.848298966884613,9.18400001525879,TRUE
-179.625,-50.625,1,,179.375,-50.125,90.1102980622628,10.1110000610352,0.794162750244141,9.29966640472412,TRUE
-179.625,-50.375,1,,179.375,-50.125,76.3426371556364,10.0166664123535,0.701264619827271,9.29966640472412,TRUE
-179.625,-50.125,1,,179.625,-49.875,60.3848410784738,9.89133358001709,0.637482762336731,9.24833297729492,TRUE
-179.625,-47.125,1,,-179.625,-47.625,55.5974633223451,13.4706659317017,1.34943246841431,11.8090000152588,TRUE
-179.625,-46.875,1,,-179.625,-47.375,55.5974633222641,14.2116661071777,1.5604966878891,12.5920000076294,TRUE
-179.625,-46.625,1,,-179.625,-47.375,83.3961949834346,14.6513328552246,1.67159116268158,12.5920000076294,TRUE
-179.625,-46.375,1,,179.625,-47.125,101.093345834099,14.772665977478,1.63503980636597,13.0403327941895,TRUE
-179.625,-46.125,1,,179.875,-47.125,117.567272191285,14.7186660766602,1.48023879528046,13.179666519165,TRUE
-179.625,-45.875,1,,-179.875,-47.125,140.304443128585,14.7009992599487,1.35786843299866,13.3179998397827,TRUE
-179.625,-45.625,1,,-179.875,-47.125,167.89120695505,14.7413330078125,1.29141366481781,13.3179998397827,TRUE
-179.625,-45.375,1,,-179.625,-47.125,194.591121627989,14.7976665496826,1.2798627614975,13.4706659317017,TRUE
-179.625,-45.125,1,,-179.625,-47.125,222.389853289132,14.7996664047241,1.28478217124939,13.4706659317017,TRUE
-179.625,-44.875,1,,-179.875,-47.125,250.932313057712,14.7119998931885,1.26351821422577,13.3179998397827,TRUE
-179.625,-44.625,1,,-179.875,-47.125,278.659799814517,14.6040000915527,1.16013789176941,13.3179998397827,TRUE
-179.625,-44.375,1,,177.125,-44.375,258.292006932722,14.5813331604004,0.952618479728699,13.5576667785645,TRUE
-179.625,-43.375,1,,179.875,-43.625,48.9814379445256,16.2630004882813,0.750592291355133,15.4913330078125,TRUE
-179.625,-43.125,1,,-179.625,-43.625,55.5974633223451,16.7846660614014,0.839888691902161,15.6469993591309,TRUE
